compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,orphanet:2756,Orofaciodigital syndrome type 10,biolink:Disease,1,MONDO:0008137,orofaciodigital syndrome X,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:2756 ""Orofaciodigital syndrome type 10"""
Disease.txt,orphanet:276399,Familial multinodular goiter,biolink:Disease,1,MONDO:0000334,multinodular goiter,regrouped,Disease.txt,biolink:Disease,11,1,"orphanet:276399 ""Familial multinodular goiter"""
Disease.txt,orphanet:279,NON RARE IN EUROPE: Age-related macular degeneration,biolink:Disease,1,MONDO:0003004,macular degeneration,regrouped,Disease.txt,biolink:Disease,16,1,"orphanet:279 ""NON RARE IN EUROPE: Age-related macular degeneration"""
Disease.txt,orphanet:2794,NON RARE IN EUROPE: Familial otosclerosis,biolink:Disease,1,MONDO:0005349,otosclerosis,regrouped,Disease.txt,biolink:Disease,19,1,"orphanet:2794 ""NON RARE IN EUROPE: Familial otosclerosis"""
Disease.txt,orphanet:280110,NON RARE IN EUROPE: Paget disease of bone,biolink:Disease,1,MONDO:0005382,bone Paget disease,regrouped,Disease.txt,biolink:Disease,15,1,"orphanet:280110 ""NON RARE IN EUROPE: Paget disease of bone"""
Disease.txt,orphanet:280654,Autosomal recessive nail dysplasia,biolink:Disease,1,MONDO:0008060,nonsyndromic congenital nail disorder 1,regrouped,Disease.txt,biolink:Disease,9,1,"orphanet:280654 ""Autosomal recessive nail dysplasia"""
Disease.txt,orphanet:280663,Hermansky-Pudlak syndrome type 9,biolink:Disease,1,MONDO:0019312,Hermansky-Pudlak syndrome,regrouped,Disease.txt,biolink:Disease,14,1,"orphanet:280663 ""Hermansky-Pudlak syndrome type 9"""
Disease.txt,orphanet:2869,Peutz-Jeghers syndrome,biolink:Disease,1,MONDO:0006365,Peutz-Jeghers polyp,regrouped,Disease.txt,biolink:Disease,18,1,"orphanet:2869 ""Peutz-Jeghers syndrome"""
Disease.txt,orphanet:294937,OBSOLETE: Brachydactyly,biolink:Disease,1,MONDO:0021004,brachydactyly,regrouped,Disease.txt,biolink:Disease,9,1,"orphanet:294937 ""OBSOLETE: Brachydactyly"""
Disease.txt,orphanet:3022,Rapp-Hodgkin syndrome,biolink:Disease,1,MONDO:0007508,Rapp-Hodgkin syndrome,regrouped,Disease.txt,biolink:Disease,11,1,"orphanet:3022 ""Rapp-Hodgkin syndrome"""
