compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,OMIM:614165,,biolink:Disease,2,DOID:0061220,pheochromocytoma/paraganglioma syndrome 5,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:614165 """"; UMLS:C3279992 ""PARAGANGLIOMAS 5"""
Disease.txt,OMIM:614210,,biolink:Disease,2,MONDO:0008903,lung cancer,regrouped,Disease.txt,biolink:Disease,36,2,"OMIM:614210 """"; UMLS:C3280156 ""LUNG CANCER SUSCEPTIBILITY 5"""
Disease.txt,OMIM:615670,,biolink:Disease,2,DOID:0070481,schwannomatosis 2,regrouped,Disease.txt,biolink:Disease,5,2,"OMIM:615670 """"; UMLS:C3810283 ""SCHWANNOMATOSIS 2"""
Disease.txt,OMIM:616415,,biolink:Disease,2,DOID:0080411,familial adenomatous polyposis 3,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:616415 """"; UMLS:C4225157 ""FAMILIAL ADENOMATOUS POLYPOSIS 3"""
Disease.txt,OMIM:617100,,biolink:Disease,2,DOID:0080412,familial adenomatous polyposis 4,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:617100 """"; UMLS:C4310719 ""FAMILIAL ADENOMATOUS POLYPOSIS 4"""
Disease.txt,OMIM:617439,,biolink:Disease,2,DOID:0060912,craniosynostosis 7,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:617439 """"; UMLS:C4479496 ""CRANIOSYNOSTOSIS 7"""
Disease.txt,OMIM:617598,,biolink:Disease,2,DOID:0080689,mosaic variegated aneuploidy syndrome 3,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:617598 """"; UMLS:C4539839 ""MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 3"""
Disease.txt,OMIM:618464,,biolink:Disease,2,DOID:0061221,pheochromocytoma/paraganglioma syndrome 6,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:618464 """"; UMLS:C5193112 ""PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME 6"""
Disease.txt,OMIM:618475,,biolink:Disease,2,DOID:0061222,pheochromocytoma/paraganglioma syndrome 7,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:618475 """"; UMLS:C5193116 ""PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME 7"""
Disease.txt,OMIM:620040,,biolink:Disease,2,DOID:0060984,digenic dyskeratosis congenita,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:620040 """"; UMLS:C5774217 ""DYSKERATOSIS CONGENITA, DIGENIC"""
Disease.txt,OMIM:620153,,biolink:Disease,2,DOID:0060981,mosaic variegated aneuploidy syndrome 4,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:620153 """"; UMLS:C5774267 ""MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 4"""
Disease.txt,OMIM:620189,,biolink:Disease,2,DOID:0060982,mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:620189 """"; UMLS:C5774284 ""MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 7 WITH INFLAMMATION AND TUMOR PREDISPOSITION"""
Disease.txt,OMIM:620343,,biolink:Disease,2,DOID:0070366,nevoid basal cell carcinoma syndrome 2,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:620343 """"; UMLS:C5830451 ""BASAL CELL NEVUS SYNDROME 2"""
Disease.txt,UMLS:C0021151,Incipient Schizophrenia,biolink:Disease,2,MONDO:0001087,schizotypal personality disorder,regrouped,Disease.txt,biolink:Disease,22,2,"SNOMEDCT:247804008 """"; UMLS:C0021151 ""Incipient Schizophrenia"""
Disease.txt,UMLS:C0263665,"Keratoconjunctivitis sicca, in Sjögren's syndrome",biolink:Disease,2,MONDO:0006733,dry eye syndrome,regrouped,Disease.txt,biolink:Disease,15,2,"SNOMEDCT:78946008 """"; UMLS:C0263665 ""Keratoconjunctivitis sicca, in Sjögren's syndrome"""
Disease.txt,UMLS:C0277348,Infestation by Anoplura,biolink:Disease,2,MONDO:0003472,lice infestation,regrouped,Disease.txt,biolink:Disease,15,2,"SNOMEDCT:74949007 """"; UMLS:C0277348 ""Infestation by Anoplura"""
Disease.txt,UMLS:C0334163,Fibrous bands,biolink:Disease,2,MONDO:0007074,ainhum,regrouped,Disease.txt,biolink:Disease,14,2,"SNOMEDCT:51404004 """"; UMLS:C0334163 ""Fibrous bands"""
Disease.txt,UMLS:C0334284,Mixed islet cell and exocrine adenocarcinoma,biolink:Disease,2,MONDO:0004340,mixed ductal-endocrine carcinoma of pancreas,regrouped,Disease.txt,biolink:Disease,10,2,"SNOMEDCT:999000 """"; UMLS:C0334284 ""Mixed islet cell and exocrine adenocarcinoma"""
Disease.txt,UMLS:C1275103,Autosomal dominant familial wooly hair,biolink:Disease,2,MONDO:0020717,autosomal dominant wooly hair,regrouped,Disease.txt,biolink:Disease,7,2,"SNOMEDCT:403794008 """"; UMLS:C1275103 ""Autosomal dominant familial wooly hair"""
Disease.txt,UMLS:C1276147,Metastatic islet cell carcinoma,biolink:Disease,2,MONDO:0005815,pancreatic neuroendocrine neoplasm,regrouped,Disease.txt,biolink:Disease,28,2,"SNOMEDCT:261713004 """"; UMLS:C1276147 ""Metastatic islet cell carcinoma"""
