target,target_prefix,doid_subject_count,doid_subjects
MESH:D000092164,MESH,3,DOID:12958|DOID:12959|DOID:13038
MESH:D000168,MESH,3,DOID:12960|DOID:14705|DOID:14768
MESH:D003110,MESH,3,DOID:219|DOID:234|DOID:235
MESH:D003233,MESH,3,DOID:11204|DOID:2457|DOID:2474
MESH:D003317,MESH,3,DOID:12318|DOID:2565|DOID:2566
MESH:D003397,MESH,3,DOID:3840|DOID:3846|DOID:3847
MESH:D003929,MESH,3,DOID:11503|DOID:12785|DOID:9743
MESH:D004806,MESH,3,DOID:4844|DOID:5075|DOID:5505
MESH:D005099,MESH,3,DOID:1142|DOID:1143|DOID:11853
MESH:D007174,MESH,3,DOID:10937|DOID:12400|DOID:12401
MESH:D007890,MESH,3,DOID:1967|DOID:5264|DOID:5268
MESH:D008059,MESH,3,DOID:0111389|DOID:0111390|DOID:12802
