drugbank_curie,label,unii,unii_ncit,organism_flags,current_ncit_retype
DRUGBANK:DB10374,Quercus agrifolia pollen,UNII:VOT5MA71M7,NCIT:C85334,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10375,Quercus virginiana pollen,UNII:8KDG09A4GO,NCIT:C85348,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10376,Quercus alba pollen,UNII:Z4Y9ZSV4KK,NCIT:C85335,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10377,Avena sativa pollen,UNII:A7IKY24TR7,NCIT:C85126,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10378,Olea europaea pollen,UNII:43R41XZ627,NCIT:C80320,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10379,Dactylis glomerata pollen,UNII:83N78IDA7P,NCIT:C85158,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10380,Carya illinoinensis pollen,UNII:PYO4JR720Y,NCIT:C85146,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10381,Amaranthus retroflexus pollen,UNII:73B14PX5FW,NCIT:C85098,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10382,Plantago lanceolata pollen,UNII:DO87T1U2CI,NCIT:C85314,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10383,Populus alba pollen,UNII:VU8C8SB23P,NCIT:C85323,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10384,Ambrosia acanthicarpa pollen,UNII:U2AI3H2J5Y,,PLANTS|GRIN|MPNS,
DRUGBANK:DB10385,Ambrosia artemisiifolia pollen,UNII:9W34L2CQ9A,,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10386,Ambrosia trifida pollen,UNII:KU1V1898XX,NCIT:C85110,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10387,Ambrosia psilostachya pollen,UNII:RX18M46K8L,NCIT:C85108,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10388,Salsola kali pollen,UNII:2MH135KC6G,NCIT:C85361,NCBI|PLANTS|GRIN,
DRUGBANK:DB10389,Lolium perenne pollen,UNII:4T81LB52R0,NCIT:C85282,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10390,Artemisia tridentata pollen,UNII:YI19RB8YFD,NCIT:C85119,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10391,Atriplex wrightii pollen,UNII:YB1308W43O,NCIT:C85125,PLANTS,
DRUGBANK:DB10392,Platanus occidentalis pollen,UNII:E03U1K03LK,NCIT:C85317,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10393,Platanus racemosa pollen,UNII:BWC8DYU8OS,NCIT:C85318,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10394,Phleum pratense pollen,UNII:0P46LFE4VC,NCIT:C72397,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10395,Holcus lanatus pollen,UNII:70O1TP6H01,NCIT:C85209,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10396,Juglans nigra pollen,UNII:1BV28146ZR,NCIT:C85264,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10397,Juglans californica pollen,UNII:2147EPR64I,NCIT:C85263,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10398,Salix nigra pollen,UNII:6M2JIH93ZN,NCIT:C85360,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10399,Felis catus skin,UNII:5308ED00EL,,NCBI,
DRUGBANK:DB10400,Dermatophagoides farinae,UNII:PR9U2YPF3Q,,NCBI,
DRUGBANK:DB10401,Dermatophagoides pteronyssinus,UNII:57L1Z5378K,,NCBI,
DRUGBANK:DB10403,Agrostis gigantea pollen,UNII:HU8V6E7HOA,NCIT:C85089,NCBI|PLANTS|GRIN,biolink:ComplexMolecularMixture
DRUGBANK:DB10404,Anthoxanthum odoratum pollen,UNII:2KIK19R45Y,NCIT:C85111,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10406,Bos taurus skin,UNII:7J12CD6O9L,,NCBI,
DRUGBANK:DB10408,Cotton seed,UNII:DI0ZRJ0MXN,NCIT:C73881,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10409,Canis lupus familiaris skin,UNII:X2W7CLE97T,,NCBI,
DRUGBANK:DB10410,Equus caballus skin,UNII:88VZV9HGT4,,NCBI,
DRUGBANK:DB10411,Ceiba pentandra fiber,UNII:758Z9H9WV9,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10412,Mus musculus skin,UNII:390AN9GB09,,NCBI,
DRUGBANK:DB10413,Orris,UNII:8N6VTJ9IWV,,NCBI|PLANTS|MPNS,
