pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	MP:0002135	abnormal kidney morphology	xref	Fyler:4512		MP	added
disease	MP:0002135	abnormal kidney morphology	xref	MGI:2173595		MP	added
disease	MP:0002136	abnormal kidney physiology	xref	MGI:2173596		MP	added
disease	MP:0002138	abnormal hepatobiliary system morphology	xref	MGI:2173598		MP	added
disease	MP:0002139	abnormal hepatobiliary system physiology	xref	MGI:2173599		MP	added
disease	MP:0002144	abnormal B cell differentiation	xref	MGI:2173604		MP	added
disease	MP:0002145	abnormal T cell differentiation	xref	MGI:2173605		MP	added
disease	MP:0002148	abnormal hypersensitivity reaction	xref	MGI:2173608		MP	added
disease	MP:0002151	abnormal neural tube morphology	xref	Fyler:4339		MP	added
disease	MP:0002151	abnormal neural tube morphology	xref	MGI:2173611		MP	added
disease	MP:0002152	abnormal brain morphology	xref	MGI:2173612		MP	added
disease	MP:0002160	abnormal reproductive system morphology	xref	MGI:2173620		MP	added
disease	MP:0002161	abnormal fertility/fecundity	xref	MGI:2173621		MP	added
disease	MP:0002163	abnormal gland morphology	xref	MGI:2173623		MP	added
disease	MP:0002164	abnormal gland physiology	xref	MGI:2173624		MP	added
disease	MP:0002166	abnormal tumor susceptibility	xref	MGI:2173626		MP	added
disease	MP:0002169	no abnormal phenotype detected	xref	MGI:2173629		MP	added
disease	MP:0002174	abnormal gastrulation movements	xref	GO:0007669		MP	added
disease	MP:0002196	absent corpus callosum	xref	Fyler:4321		MP	added
disease	MP:0002207	abnormal long-term potentiation	xref	MGI:2173614		MP	added
disease	MP:0002233	abnormal nose morphology	xref	Fyler:4870		MP	added
disease	MP:0002274	abnormal type I pneumocyte morphology	xref	CL:0002062		MP	added
disease	MP:0002274	abnormal type I pneumocyte morphology	xref	FMA:62500		MP	added
disease	MP:0002275	abnormal type II pneumocyte morphology	xref	CL:0002063		MP	added
disease	MP:0002275	abnormal type II pneumocyte morphology	xref	FMA:62501		MP	added
disease	MP:0002286	cryptorchism	xref	Fyler:4493		MP	added
disease	MP:0002349	abnormal afferent lymphatic vessel morphology	xref	MA:0000748		MP	added
disease	MP:0002350	abnormal efferent lymphatic vessel morphology	xref	MA:0000749		MP	added
disease	MP:0002436	abnormal CD8-positive, alpha-beta cytotoxic T cell morphology	xref	CL:0000794		MP	added
disease	MP:0002447	abnormal erythrocyte morphology	xref	MGI:2173584		MP	added
disease	MP:0002471	abnormal complement pathway	xref	GO:0006956		MP	added
disease	MP:0002551	abnormal blood coagulation	xref	MGI:2173585		MP	added
disease	MP:0002625	heart left ventricle hypertrophy	xref	Fyler:3608		MP	added
disease	MP:0002633	persistent truncus arteriosus	xref	Fyler:0500		MP	added
disease	MP:0002633	persistent truncus arteriosus	xref	Fyler:500		MP	added
disease	MP:0002639	micrognathia	xref	Fyler:4163		MP	added
disease	MP:0002726	abnormal pulmonary vein morphology	xref	Fyler:3000		MP	added
disease	MP:0002747	abnormal aortic valve morphology	xref	Fyler:1400		MP	added
disease	MP:0002747	abnormal aortic valve morphology	xref	Fyler:1408		MP	added
disease	MP:0002748	abnormal pulmonary valve morphology	xref	Fyler:1600		MP	added
disease	MP:0002748	abnormal pulmonary valve morphology	xref	Fyler:1602		MP	added
disease	MP:0002753	dilated heart left ventricle	xref	Fyler:1817		MP	added
disease	MP:0002754	dilated heart right ventricle	xref	Fyler:1827		MP	added
disease	MP:0002762	ectopic cerebellar granule cells	xref	CL:0001031		MP	added
disease	MP:0002766	situs inversus	xref	MPATH:720		MP	added
disease	MP:0002767	situs ambiguus	xref	MPATH:711		MP	added
disease	MP:0002795	dilated cardiomyopathy	xref	Fyler:1843		MP	added
disease	MP:0002998	abnormal bone remodeling	xref	GO:0046849		MP	added
disease	MP:0003052	omphalocele	xref	Fyler:4404		MP	added
disease	MP:0003054	spina bifida	xref	Fyler:4157		MP	added
disease	MP:0003124	hypospadia	xref	Fyler:4504		MP	added
disease	MP:0003130	anal atresia	xref	Fyler:4402		MP	added
disease	MP:0003130	anal atresia	xref	Fyler:4443		MP	added
disease	MP:0003139	patent ductus arteriosus	xref	Fyler:2100		MP	added
disease	MP:0003272	duodenal atresia	xref	Fyler:4406		MP	added
disease	MP:0003276	esophageal atresia	xref	Fyler:4412		MP	added
disease	MP:0003279	aneurysm	xref	Fyler:2399		MP	added
disease	MP:0003307	pyloric stenosis	xref	Fyler:4444		MP	added
disease	MP:0003321	tracheoesophageal fistula	xref	Fyler:4202		MP	added
disease	MP:0003342	accessory spleen	xref	Fyler:4772		MP	added
disease	MP:0003388	absent pericardium	xref	Fyler:1910		MP	added
disease	MP:0003587	ureter obstruction	xref	Fyler:4492		MP	added
disease	MP:0003604	single kidney	xref	Fyler:4509		MP	added
disease	MP:0003605	fused kidneys	xref	Fyler:4507		MP	added
disease	MP:0003632	abnormal nervous system morphology	xref	Fyler:4135		MP	added
disease	MP:0003632	abnormal nervous system morphology	xref	Fyler:4300		MP	added
disease	MP:0003632	abnormal nervous system morphology	xref	GO:0007417		MP	added
disease	MP:0003632	abnormal nervous system morphology	xref	MGI:2173613		MP	added
disease	MP:0003632	abnormal nervous system morphology	xref	MGI:2173617		MP	added
disease	MP:0003633	abnormal nervous system physiology	xref	MGI:2173615		MP	added
disease	MP:0003633	abnormal nervous system physiology	xref	MGI:2173618		MP	added
disease	MP:0003702	abnormal chromosome morphology	xref	Fyler:4013		MP	added
disease	MP:0003710	abnormal physiological neovascularization	xref	GO:0060055		MP	added
disease	MP:0003729	abnormal photoreceptor outer segment morphology	xref	GO:0001750		MP	added
disease	MP:0003730	abnormal photoreceptor inner segment morphology	xref	GO:0001917		MP	added
disease	MP:0003920	abnormal heart right ventricle morphology	xref	Fyler:1820		MP	added
disease	MP:0003921	abnormal heart left ventricle morphology	xref	Fyler:1810		MP	added
disease	MP:0003922	abnormal heart right atrium morphology	xref	Fyler:1770		MP	added
disease	MP:0003923	abnormal heart left atrium morphology	xref	Fyler:3010		MP	added
disease	MP:0004038	lymphangiectasis	xref	Fyler:4042		MP	added
disease	MP:0004062	dilated heart right atrium	xref	Fyler:2859		MP	added
disease	MP:0004063	dilated heart left atrium	xref	Fyler:3020		MP	added
